title,author
MOON RISING,Tui T. Sutherland.
MORAL COMPASS,Danielle Steel
MOTHERING HEIGHTS,Dav Pilkey
MURTAGH,Christopher Paolini
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams
NANA LOVES YOU MORE,Jimmy Fallon.
NEVER NEVER,Colleen Hoover and Tarryn Fisher
NEW FROM HERE,Kelly Yang
NIC BLAKE AND THE REMARKABLES,Angie Thomas
NICK AND CHARLIE,Alice Oseman
NIGHTMARE SCENARIO,Yasmeen Abutaleb and Damian Paletta
NIGHTWORK,Nora Roberts
NOODLE AND THE NO BONES DAY,Jonathan Graziano.
OATH AND HONOR,Liz Cheney
OCEAN PREY,John Sandford
ODDER,Katherine Applegate.
ON PURPOSE,Dav Pilkey
ON THE HOUSE,John Boehner
ON TYRANNY,Timothy Snyder
ONCE UPON A BROKEN HEART,Stephanie Garber
ONCE UPON A TIME IN HOLLYWOOD,Quentin Tarantino
ONE DAMN THING AFTER ANOTHER,William P. Barr
ONE OF US IS LYING,Karen M. McManus
ONLY THE DEAD,Jack Carr
OUR VIOLENT ENDS,Chloe Gong
"OUT OF MANY, ONE",George W. Bush
OUTLIVE,Peter Attia with Bill Gifford
PAGEBOY,Elliot Page
PEACE TRAIN,Cat Stevens.
PEOPLE WE MEET ON VACATION,Emily Henry
PERIL,Bob Woodward and Robert Costa
PERSPECTIVES,Dav Pilkey
PORTRAIT OF AN UNKNOWN WOMAN,Daniel Silva
"POVERTY, BY AMERICA",Matthew Desmond
PREQUEL,Rachel Maddow
RADIO'S GREATEST OF ALL TIME,Rush Limbaugh with Kathryn Adams Limbaugh and David Limbaugh
REALM BREAKER,Victoria Aveyard
RED-HANDED,Peter Schweizer
RIGHTEOUS PREY,John Sandford
RIVER,Erin Hunter
ROYAL,Danielle Steel
RULE OF WOLVES,Leigh Bardugo
"RUN, ROSE, RUN",Dolly Parton and James Patterson
SAFE AND SOUND,Mercury Stardust
SAVED,Benjamin Hall
SILVER IN THE BONE,Alexandra Bracken
SIMON SNOW TRILOGY,Rainbow Rowell
SIMPLY LIES,David Baldacci
SOLITAIRE,Alice Oseman
"SOMETHING, SOMEDAY",Amanda Gorman.
SOOLEY,John Grisham
SPARE,Prince Harry
SPARRING PARTNERS,John Grisham
STACEY’S EXTRAORDINARY WORDS,Stacey Abrams.
STAMPED (FOR KIDS),"Jason Reynolds, Ibram X. Kendi and Sonja Cherry-Paul"
STAR WARS: INTO THE DARK,Claudia Gray
STAR WARS: LIGHT OF THE JEDI,Charles Soule
STAR WARS: PADAWAN,Kiersten White
STATE OF TERROR,Hillary Rodham Clinton and Louise Penny
STORM WATCH,C.J. Box
"STRANGE PLANET: THE SNEAKING, HIDING, VIBRATING CREATURE",Nathan W. Pyle
TANQUERAY,Stephanie Johnson and Brandon Stanton
THANK YOU FOR YOUR SERVITUDE,Mark Leibovich
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein"
THE 1619 PROJECT: BORN ON THE WATER,Nikole Hannah-Jones and Renée Watson.
THE 19TH CHRISTMAS,James Patterson and Maxine Paetro
THE 6:20 MAN,David Baldacci
THE AFGHANISTAN PAPERS,Craig Whitlock
THE ANTHROPOCENE REVIEWED,John Green
THE BALLAD OF NEVER AFTER,Stephanie Garber
THE BEATRYCE PROPHECY,Kate DiCamillo.
THE BENCH,"Meghan, the Duchess of Sussex."
THE BIG CHEESE,Jory John.
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy
THE BOYS FROM BILOXI,John Grisham
THE CELLIST,Daniel Silva
THE CHOICE,Nora Roberts
THE CHRISTMAS PIG,J.K. Rowling.
THE CODE BREAKER,Walter Isaacson
THE COLLECTOR,Daniel Silva
THE COURAGE TO BE FREE,Ron DeSantis
THE CRAYONS GO BACK TO SCHOOL,Drew Daywalt.
THE CREATIVE ACT,Rick Rubin with Neil Strauss
THE DARK HOURS,Michael Connelly
THE DEMOCRAT PARTY HATES AMERICA,Mark R. Levin
THE DOOR OF NO RETURN,Kwame Alexander
THE DUKE AND I,Julia Quinn
THE EXCHANGE,John Grisham
THE EYE OF THE WORLD,Robert Jordan
THE FIRST TO DIE AT THE END,Adam Silvera
THE FIVE-STAR WEEKEND,Elin Hilderbrand
THE FOREVER DOG,Rodney Habib and Karen Shaw Becker
THE FOUR WINDS,Kristin Hannah
THE HARRY POTTER WIZARDING ALMANAC,J.K. Rowling. Various illustrators
THE HAWTHORNE LEGACY,Jennifer Lynn Barnes
THE HILL WE CLIMB,Amanda Gorman
THE HOCUS POCUS SPELL BOOK,Eric Geron
THE HOTEL NANTUCKET,Elin Hilderbrand
THE ICE CREAM MACHINE,Adam Rubin
THE ICKABOG,J.K. Rowling
THE INVESTIGATOR,John Sandford
THE JANUARY 6 REPORT,the House January 6th Committee
THE JUDGE'S LIST,John Grisham
THE LAST HOURS,Cassandra Clare
THE LAST KIDS ON EARTH,Max Brallier.
THE LAST THING HE TOLD ME,Laura Dave
THE LIGHT WE CARRY,Michelle Obama
THE LINCOLN HIGHWAY,Amor Towles
THE LYRICS: 1956 TO THE PRESENT,Paul McCartney
THE MADNESS OF CROWDS,Louise Penny
THE MAID,Nita Prose
THE MATCH,Harlan Coben
THE MIDNIGHT CHILDREN,Dan Gemeinhart
THE OFFICE BFFS,Jenna Fischer and Angela Kinsey
THE OFFICIAL HARRY POTTER BAKING BOOK,Joanna Farrow
THE ONE AND ONLY,Katherine Applegate
THE ONE AND ONLY IVAN,Katherine Applegate.
THE ONE AND ONLY SPARKELLA,Channing Tatum.
THE PAPER PALACE,Miranda Cowley Heller
THE PARIS APARTMENT,Lucy Foley
THE PIGEON HAS TO GO TO SCHOOL!,Mo Willems
THE PIONEER WOMAN COOKS--SUPER EASY!,Ree Drummond
THE PRESIDENT'S DAUGHTER,James Patterson and Bill Clinton
THE ROCK FROM THE SKY,Jon Klassen
THE RUNNING GRAVE,Robert Galbraith
THE RUSSIAN,James Patterson and James O. Born
THE SECRET,Lee Child and Andrew Child
THE SENTINEL,Lee Child and Andrew Child
THE SKULL,Jon Klassen
THE SOUR GRAPE,Jory John and Pete Oswald
THE STOLEN HEIR,Holly Black
THE STORYTELLER,Dave Grohl
THE STRANGER IN THE LIFEBOAT,Mitch Albom
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han
THE SUN AND THE STAR,Rick Riordan and Mark Oshiro
THE SUPERPOWER SISTERHOOD,Jenna Bush Hager and Barbara Pierce Bush.
THE WAGER,David Grann
THE WISDOM OF THE BULLFROG,William H. McRaven
THE WISH,Nicholas Sparks
THE WOK,J. Kenji López-Alt
THE WOMAN IN ME,Britney Spears
THE WOMEN OF THE BIBLE SPEAK,Shannon Bream
THE YEAR OF MAGICAL THINKING,Joan Didion
THESE INFINITE THREADS,Tahereh Mafi
THESE TWISTED BONDS,Lexi Ryan
THEY BOTH DIE AT THE END,Adam Silvera
THINGS WE HIDE FROM THE LIGHT,Lucy Score
THINGS WE LEFT BEHIND,Lucy Score
THINK AGAIN,Adam Grant
THIS IS THE FIRE,Don Lemon
THIS WINTER,Alice Oseman
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Alice Schertle.
TO PARADISE,Hanya Yanagihara
TO RESCUE THE REPUBLIC,Bret Baier with Catherine Whitney
TOM LAKE,Ann Patchett
TOO LATE,Colleen Hoover
TWENTY THOUSAND FLEAS UNDER THE SEA,Dav Pilkey
TWO DEGREES,Alan Gratz
UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY,Emmanuel Acho
UNTHINKABLE,Jamie Raskin
VANDERBILT,Anderson Cooper and Katherine Howe
WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney
WALK THE WIRE,David Baldacci
WE WERE LIARS,E. Lockhart
WELCOME TO THE UNIVERSE IN 3D,Neil deGrasse Tyson et al
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey
WHAT IS GOD LIKE?,Rachel Held Evans and Matthew Paul Turner.
WHAT THE RIVER KNOWS,Isabel Ibañez
WHEN YOU TRAP A TIGER,Tae Keller
WHILE JUSTICE SLEEPS,Stacey Abrams
WILDFIRE,Hannah Grace
WILL,Will Smith with Mark Manson
WIN,Harlan Coben
WINGS OF FIRE,Tui T. Sutherland
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland.
WISH,Barbara O'Connor
WISH YOU WERE HERE,Jodi Picoult
WONDER,R.J. Palacio
WORLD TRAVEL,Anthony Bourdain and Laurie Woolever
WRECKER,Carl Hiaasen
YOU'LL BE THE DEATH OF ME,Karen M. McManus
YOUNG FOREVER,Mark Hyman
